Período;Sexo Masculino;Sexo Feminino;0 aos 4 anos;5 aos 9 anos;10 aos 14 anos;15 aos 24 anos;25 aos 34 anos;35 aos 44 anos;45 aos 54 anos;55 a 64 anos;65 a 74 anos;75 e mais anos;Total
2003;414.7;315.5;16.9;49.2;31.2;6.5;95.4;287.2;770.5;762.6;839.0;498.5;362.9
2004;525.3;449.9;13.7;15.4;44.6;56.0;60.6;355.8;918.0;1197.2;1106.0;879.5;485.9
2009;606.9;538.2;;;;;86.4;354.5;1000.2;1379.3;1376.4;896.9;571.1
2010;780.1;568.1;;;;42.2;117.4;302.9;907.1;1927.7;1667.8;1114.8;669.2
2018;580.654298258;627.130771497;;;;;113.593335858;229.127881999;787.644787645;1247.86324786;1453.79023884;1285.78360019;605.0
1993;246.9;270.5;;;25.0;19.9;51.3;168.9;587.0;725.3;622.0;447.8;259.3
2008;641.1;527.8;;;;28.5;71.6;291.6;908.0;1374.9;1419.8;1160.4;581.9
2013;522.4;588.4;;;;;;156.2;917.4;1308.8;1533.5;1281.5;557.1
2017;572.0;475.9;;;;;;149.9;512.1;1144.0;1247.5;1571.2;521.1
1996;266.5;307.9;;34.8;19.3;16.2;54.9;167.6;487.8;832.0;828.9;399.7;288.2
1997;284.4;275.3;15.4;12.3;20.7;12.9;16.1;194.8;553.0;629.8;891.7;473.1;279.7
1999;286.5;282.9;15.9;27.1;35.0;;53.2;176.0;454.9;712.9;830.6;572.6;284.6
2000;372.2;382.1;33.2;;;32.4;63.5;267.3;597.5;945.2;1068.9;581.5;377.4
2007;550.2;475.1;17.0;34.0;;15.4;57.2;316.0;792.9;1338.7;1260.2;947.9;511.1
2011;724.8;585.1;;56.1;;27.0;117.0;351.6;827.7;1674.5;1532.7;1210.9;651.8
1994;233.6;296.8;14.2;31.7;18.4;11.6;23.8;228.7;511.8;766.6;715.6;406.1;266.9
2005;640.2;575.4;17.6;;16.6;42.2;102.5;478.1;1060.1;1372.2;1433.2;1047.3;606.4
2012;549.8;456.3;;;;30.7;69.5;280.1;684.2;1505.8;1238.4;821.4;500.9
2014;610.7;443.2;;;;;;184.0;650.6;1122.3;1641.4;1207.0;522.1
2015;764.489747541;581.303176029;;;;;;186.282811177;1062.39134634;1555.27532577;1456.31067961;1176.47058824;667.653713998
2016;506.5;462.6;;;;;;313.6;763.4;944.8;1172.4;858.1;483.3
1992;221.8;259.4;19.4;;;2.8;54.8;157.6;535.2;666.6;729.4;353.9;241.5
1995;236.9;268.0;;10.6;17.9;22.7;41.3;160.2;470.6;653.5;697.4;449.1;253.2
1998;330.2;288.3;;27.2;23.0;14.3;48.2;234.4;668.1;796.6;833.1;341.1;308.2
2006;478.6;444.5;;;15.0;19.6;44.3;266.0;674.4;1224.1;1194.5;853.6;460.8
